Epoch,Validation Loss,Validation Accuracy
1,1.7707708358764649,0.38750001788139343
2,1.7803998947143556,0.4124999940395355
3,1.7924057960510253,0.4124999940395355
4,1.538351798057556,0.512499988079071
5,2.1510202407836916,0.39375001192092896
6,1.4963644981384276,0.4937500059604645
7,1.3764772415161133,0.543749988079071
8,1.5263291120529174,0.4437499940395355
9,1.6936648845672608,0.45000001788139343
10,1.4958733081817628,0.45625001192092896
11,1.6321916341781617,0.42500001192092896
12,1.4261001825332642,0.5
13,1.816778564453125,0.375
14,1.410287857055664,0.48750001192092896
15,1.3711836338043213,0.4937500059604645
16,1.657290482521057,0.4437499940395355
17,1.5854803323745728,0.4625000059604645
18,1.4052792072296143,0.48750001192092896
19,1.3632866382598876,0.574999988079071
20,1.6688580751419066,0.48750001192092896
21,1.6500884532928466,0.4000000059604645
22,1.4878884315490724,0.543749988079071
23,1.627157711982727,0.4375
24,1.4881618738174438,0.4749999940395355
25,1.4508057832717896,0.45000001788139343
26,1.3641132831573486,0.5625
27,1.4469533205032348,0.5
28,1.440465259552002,0.4375
29,1.5467641830444336,0.45000001788139343
30,1.4271981716156006,0.48750001192092896
31,1.5631656408309937,0.4749999940395355
32,1.286118495464325,0.59375
33,1.3971756458282472,0.512499988079071
34,1.450336790084839,0.48125001788139343
35,1.4966957569122314,0.45625001192092896
36,1.362673807144165,0.5375000238418579
37,1.3865902781486512,0.4937500059604645
38,1.406615400314331,0.4749999940395355
39,1.367625093460083,0.46875
40,1.4099164247512816,0.40625
41,1.3766714572906493,0.512499988079071
42,1.4963284969329833,0.4749999940395355
43,1.6324579954147338,0.46875
44,1.4567447423934936,0.4437499940395355
45,1.6430275201797486,0.4375
46,1.6316291570663453,0.48750001192092896
47,1.3982130527496337,0.53125
48,1.4293198585510254,0.41875001788139343
49,1.5025619506835937,0.48125001788139343
50,1.5764310359954834,0.4749999940395355
