Epoch,CLS_LOSS,CONT_LOSS,Total Loss,Source Accuracy,Target Accuracy
1,2.065910220809928,1.8462140853095677,3.9121242634172164,24.25720157441917,94.89977728285078
2,2.0371754847815415,1.8075565431399807,3.8447319792214376,25.288237138179664,94.88864142538975
3,2.0546700724780163,1.7251856695097307,3.779855697085969,25.640043192030372,93.57461024498886
4,2.003541060571947,1.7637771565176734,3.767318177594905,25.83510397436344,95.5011135857461
5,2.0277972137742157,1.7559363289190688,3.783733494164949,26.15904420216657,94.51002227171492
6,2.0082761471414883,1.7901097001669666,3.798385795877877,26.267024278100944,94.87750556792874
7,2.115607351662056,1.648025437355673,3.763632746608326,25.786338778780173,90.82405345211582
8,1.9773405372167219,1.6691834517171793,3.6465239467758908,26.381970810547216,96.20267260579065
9,2.021729068527774,1.7232552507290715,3.7449842704696485,25.883869169946706,95.11135857461025
10,1.984851099733255,1.7393291657031367,3.7241802174423744,26.632763244975443,96.23608017817372
11,2.0352571958422927,1.8178721394929147,3.8531292941097695,26.41680309310669,94.71046770601336
12,2.046838513195913,1.7536975523759757,3.800536019632174,25.598244452959,94.17594654788418
13,2.032617858231466,1.8070192348386218,3.839637045605411,25.99184924588108,95.31180400890868
