Epoch,Validation Loss,Validation Accuracy
1,2.6723780972617015,0.13482144474983215
2,2.605781759534563,0.11339285969734192
3,2.6664910657065257,0.10357143729925156
4,2.6877146107809886,0.0937500074505806
5,2.6193258421761647,0.1026785746216774
