Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,1.9180201991399128,1.8589582255012111,0.19195477664470673,0.23363487422466278
2,1.853920774459839,1.813674531484905,0.23651652038097382,0.25742873549461365
3,1.8301091167661878,1.793590315601282,0.24293451011180878,0.2669682204723358
4,1.8080698929892647,1.770476772074114,0.2569895088672638,0.27075108885765076
5,1.7896468538708157,1.748661101910106,0.26613175868988037,0.28163379430770874
6,1.7746940252516006,1.718542216116922,0.2748470604419708,0.2936403453350067
7,1.7589514515135023,1.70186003676632,0.28221097588539124,0.3177357316017151
8,1.7438824245664808,1.6928607371815465,0.29108861088752747,0.32316339015960693
9,1.7259738296932645,1.6639421676334583,0.30239206552505493,0.33769190311431885
10,1.7160660293367174,1.6559067567189534,0.30616649985313416,0.34262609481811523
11,1.7013118839263917,1.62616012807478,0.3196678161621094,0.3656798303127289
12,1.6855769072638618,1.6225558644846867,0.325699120759964,0.37324559688568115
13,1.6696324819988675,1.585192690815842,0.3368496894836426,0.3757949769496918
14,1.656432451142205,1.5655241221712346,0.3415643870830536,0.389884889125824
15,1.6402505403094823,1.5522608485138207,0.35083240270614624,0.39501097798347473
16,1.6314979728062948,1.5355178410546821,0.36022335290908813,0.4009320139884949
17,1.6164707692464193,1.5445337190962674,0.36445948481559753,0.40263158082962036
18,1.6104216904110378,1.511884381896571,0.36954766511917114,0.41707783937454224
19,1.5921331161922878,1.5016793284499854,0.37723442912101746,0.42075109481811523
20,1.5774156766467624,1.4934166397964745,0.3833427429199219,0.4250822365283966
21,1.5699764733844332,1.4754236957483124,0.38656437397003174,0.4419407844543457
22,1.5584742259979247,1.458390800576461,0.39474570751190186,0.4438870847225189
23,1.5423193322287665,1.4581935238419919,0.3982413709163666,0.44002193212509155
24,1.5352437898847793,1.444607004784701,0.40320947766304016,0.4482181966304779
25,1.5323215034272937,1.4392203071661163,0.4039386510848999,0.4546600878238678
26,1.5161586682001749,1.4307611155928226,0.41120871901512146,0.45578399300575256
27,1.5107629383934869,1.4177763001960622,0.41607826948165894,0.46178728342056274
28,1.503299789428711,1.405278810283594,0.421798974275589,0.4677905738353729
29,1.4847469886144002,1.3972463168595965,0.4283614754676819,0.4696820378303528
30,1.484694226053026,1.3860469784652978,0.4267004430294037,0.4718475937843323
31,1.4722113678190443,1.3877147206088953,0.4311768114566803,0.473163366317749
32,1.464760906961229,1.3704765010298343,0.430719792842865,0.4777686595916748
33,1.4602902767393324,1.3725799677664774,0.4333323836326599,0.4794956147670746
34,1.4541026157803005,1.3643299571254797,0.4381747543811798,0.48029056191444397
35,1.4439575380749172,1.3484278948683488,0.44151559472084045,0.48966559767723083
36,1.437090080049303,1.3472408390881723,0.4453219175338745,0.49268093705177307
37,1.4249976984659831,1.3471318734319586,0.45426425337791443,0.48906248807907104
38,1.4210447300804987,1.3397587035831653,0.4536767899990082,0.49290022253990173
39,1.4219545200135972,1.3294257281119364,0.4506935179233551,0.491913378238678
40,1.4113345739576553,1.3206584014390643,0.455925315618515,0.5024123191833496
41,1.4081862958272298,1.3220961093902588,0.4567483365535736,0.5015076994895935
42,1.3996034908294677,1.3113035277316445,0.46406155824661255,0.5074561238288879
43,1.3954312997394138,1.3196244072495846,0.46242398023605347,0.49912282824516296
44,1.393397283024258,1.315290277464348,0.4651220142841339,0.5020833015441895
45,1.3851298194461399,1.2994962010467261,0.46715936064720154,0.5102248191833496
46,1.3821330658594768,1.3055179140024018,0.46391984820365906,0.5072916746139526
47,1.371708674430847,1.2878226292760748,0.47394895553588867,0.511211633682251
48,1.3668460570441352,1.2952905433219777,0.47441911697387695,0.5127466917037964
49,1.3677187840143838,1.274740221207602,0.46939003467559814,0.5188870429992676
50,1.355941932996114,1.2788689199246859,0.4754795432090759,0.5152138471603394
51,1.3531566953659058,1.2753386915775768,0.4835726320743561,0.5176809430122375
52,1.3477181445227728,1.2712616962299013,0.4807385802268982,0.5171600580215454
53,1.3455203379525078,1.2591404256067777,0.478689968585968,0.5231085419654846
54,1.3369872654808892,1.265401882037782,0.48548516631126404,0.5216556787490845
55,1.335821993086073,1.2565399387426543,0.48669764399528503,0.5260416865348816
56,1.3358485020531548,1.256078981516654,0.4888635575771332,0.5256304740905762
57,1.3278731022940742,1.2535921690756815,0.49137669801712036,0.5252466797828674
58,1.3251983976364137,1.2545769110060574,0.4890691041946411,0.524451732635498
59,1.3167774687872993,1.2444826469086765,0.49442756175994873,0.5342105627059937
60,1.3160012997521295,1.2382748524347942,0.49436843395233154,0.5309484601020813
61,1.3215496926837498,1.2351538110197635,0.4913794994354248,0.5355811715126038
62,1.304423712094625,1.2405339500360322,0.4978538155555725,0.5373903512954712
63,1.303135814666748,1.2329919066345483,0.50042325258255,0.5346765518188477
64,1.3024998553593954,1.2258851005319964,0.5026135444641113,0.5390076637268066
65,1.2970920414394802,1.23139166413692,0.5013128519058228,0.5364857316017151
66,1.2867818715837267,1.2229734199088917,0.5069106817245483,0.5401315689086914
67,1.290577942530314,1.2262325684229534,0.5071002244949341,0.5352795720100403
68,1.2852229086558025,1.2185022747307492,0.5080302357673645,0.5391995906829834
69,1.2828630473878648,1.2155379036016631,0.5123142004013062,0.5449287295341492
70,1.273582910961575,1.214685835336384,0.513323962688446,0.5439693331718445
71,1.2786662907070583,1.2088168524859244,0.5113635659217834,0.5417762994766235
72,1.2690837224324545,1.2110370878587688,0.5142239332199097,0.5445175766944885
73,1.272167755762736,1.2094790454496418,0.5113635659217834,0.5420778393745422
