Epoch,Validation Loss,Validation Accuracy
1,1.594119167327881,0.4124999940395355
2,1.7072548389434814,0.4437499940395355
3,1.5002065896987915,0.4375
4,1.484606647491455,0.550000011920929
5,1.2441143333911895,0.543749988079071
6,1.2222849369049071,0.5875000357627869
7,1.2262608766555787,0.5687500238418579
8,1.3104094743728638,0.5562500357627869
9,1.3796200275421142,0.550000011920929
10,1.3483988285064696,0.574999988079071
11,1.1569567322731018,0.5687500238418579
12,1.4215489625930786,0.53125
13,1.457030963897705,0.4937500059604645
14,1.3519859790802002,0.512499988079071
15,1.3679975748062134,0.5375000238418579
16,1.4924111366271973,0.45625001192092896
17,1.5257215976715088,0.543749988079071
18,1.5880372762680053,0.5625
19,1.503431487083435,0.48750001192092896
20,1.570901584625244,0.42500001192092896
21,1.3875718116760254,0.5375000238418579
22,1.7692686796188355,0.3687500059604645
23,1.5814500093460082,0.5
24,1.8454533815383911,0.4375
25,1.5196919918060303,0.4749999940395355
26,1.661435842514038,0.46875
27,1.9812075614929199,0.42500001192092896
28,1.6548617839813233,0.48750001192092896
29,1.40484579205513,0.5562500357627869
30,1.6363054513931274,0.518750011920929
31,1.572722840309143,0.518750011920929
32,1.8290814399719237,0.48125001788139343
33,2.4676546812057496,0.38750001788139343
34,1.8911808490753175,0.48125001788139343
35,1.5747363328933717,0.550000011920929
36,1.809016966819763,0.5
37,1.8135899782180787,0.4937500059604645
38,2.320882701873779,0.3687500059604645
39,1.8090378522872925,0.45625001192092896
40,1.4506218552589416,0.550000011920929
41,2.2664361953735352,0.41875001788139343
42,2.036048674583435,0.4375
43,1.8940022945404054,0.42500001192092896
44,1.6493414759635925,0.53125
45,1.831226897239685,0.48750001192092896
46,1.8370112895965576,0.4124999940395355
47,1.6847798585891725,0.5375000238418579
48,2.122080993652344,0.4625000059604645
49,1.8562389135360717,0.4375
50,1.8324211359024047,0.3812499940395355
