Epoch,CLS_LOSS,CONT_LOSS,Total Loss,Source Accuracy,Target Accuracy
1,3.0015911070505776,1.6332474119663247,4.6348384835984975,62.26967153157546,33.022222222222226
2,2.793748705652025,1.62121617937088,4.414964850743612,61.36054895677314,39.82222222222222
3,2.6375004053115845,1.5791238422393812,4.216624184714424,60.42007732766728,45.91111111111111
4,2.566259225739373,1.5971612191200264,4.16342039320204,59.68859939391828,46.977777777777774
5,2.5085139147440594,1.5713832585811613,4.079897140926785,60.137935838935526,50.266666666666666
6,2.48990398089091,1.5940575091838838,4.083961451848348,59.765230415549134,47.37777777777778
7,2.453144417338901,1.5758586919307715,4.0290030638376875,59.46915601379359,50.577777777777776
8,2.419971384472317,1.5771358036994936,3.997107153998481,59.611968372287436,56.53333333333333
9,2.3373816940519543,1.5609332959651956,3.8983149517907036,59.890626632763244,55.644444444444446
10,2.3011801465352377,1.559375153303147,3.860555265214708,59.86972726322756,54.62222222222222
11,2.2555091773139107,1.5675893647670753,3.823098496331109,59.57365286147201,57.733333333333334
12,2.2519607581032646,1.5281303446292889,3.780091061062283,59.5945522310077,57.24444444444445
13,2.306336978276571,1.5421574926376347,3.8484944248199464,59.77219687206102,54.75555555555555
14,2.240342812538147,1.5334166471958166,3.773759430779351,60.245915914869904,56.8
15,2.193678152296278,1.5439191269874584,3.737597245110406,60.29119788219722,62.355555555555554
16,2.2050686147477894,1.5219225542545316,3.7269911416371664,60.21108363231043,61.644444444444446
17,2.2340483331680296,1.524554649353027,3.7586029455396863,60.009056393465464,61.111111111111114
18,2.142258382373386,1.5309829115867615,3.67324123594496,60.33647984952454,62.355555555555554
19,2.139402839342753,1.5165393183231353,3.655942127439711,60.298164338709114,62.08888888888889
20,2.132936092482673,1.5161462578773495,3.6490823067559135,60.489741892786235,66.66666666666667
21,2.1712763277689615,1.5362572059631345,3.707533499399821,60.44794315371486,61.111111111111114
22,2.1337856605317858,1.5002147812843316,3.6340004041459824,60.110070012887945,62.266666666666666
23,2.062535923322042,1.5015333368778232,3.56406923505995,60.754467240238256,66.35555555555555
24,2.11198550330268,1.5144087142944338,3.626394175423516,60.608171653488455,62.666666666666664
25,2.1836575020684137,1.5299471323490141,3.7136045996348064,60.65693684907172,60.666666666666664
26,2.0466660896937054,1.5064391009807574,3.5531051423814564,60.632554251280084,67.2
27,2.0289323684904312,1.5128341023921954,3.5417664432525635,60.19366749103069,67.24444444444444
28,2.1738156117333305,1.5087302637100222,3.6825458484225804,60.252882371381794,60.17777777777778
29,2.105325107839372,1.5090918924808503,3.6144169659084744,60.56637291441708,63.644444444444446
30,2.1446432627571954,1.510329019069672,3.654972250196669,60.32254693650075,61.733333333333334
31,2.0106291076872083,1.4872303903102877,3.4978594483269587,60.444459925458915,65.77777777777777
32,1.9847012689378527,1.5028767044544225,3.4875779162512885,60.587272283952764,69.86666666666666
33,2.101684249242147,1.4857486195564276,3.587432821061876,60.54199031662545,64.31111111111112
34,1.9497933541403876,1.4861629278659823,3.435956253475613,60.7649169250061,74.0
35,2.0396556372112697,1.4770140388011936,3.516669636832343,60.18670103451879,68.97777777777777
36,2.0215146475368075,1.4740140092372884,3.495528622733222,60.6186213382563,66.44444444444444
37,2.0011850696139866,1.5008063888549805,3.5019914213816326,60.62210456651224,68.4
38,1.9211281421449449,1.4542294478416438,3.3753575468063355,60.57682259918492,72.13333333333334
39,2.0078041966756186,1.4739919188022608,3.4817960670259263,60.66738653383956,67.42222222222222
40,1.9506148227055868,1.4685400714874268,3.4191548622979058,60.62907102302414,68.84444444444445
41,1.9468502725495231,1.4955442612171166,3.4423945082558527,60.705702044654984,72.35555555555555
42,1.9787141365475125,1.4792787837982178,3.45799288643731,60.99132676164269,68.8
43,1.882842517428928,1.4741558527946483,3.3569983355204265,60.77536660977394,74.53333333333333
44,1.9595264633496603,1.4900148189067846,3.4495412492752076,60.381761816851856,71.91111111111111
45,1.9520856822861565,1.4651416962146755,3.4172273434533014,61.07492423978543,71.55555555555556
46,1.9188647386762832,1.4532477269172657,3.3721124267578126,60.88334668570831,71.95555555555555
47,1.8194952845573424,1.4689876644611346,3.28848291238149,61.17245463095197,77.6
48,1.9531349404652913,1.4860724704265598,3.4392073896196154,60.95649447908321,70.8
49,1.8475721955299378,1.4510444765090942,3.298616639773051,60.81368212058936,76.88888888888889
50,2.026542655626933,1.4676065521240238,3.4941491656833223,61.14458880490439,65.28888888888889
