Epoch,Validation Loss,Validation Accuracy
1,1.8238622188568114,0.32500001788139343
2,1.8180092334747315,0.2874999940395355
3,1.9259830951690673,0.3375000059604645
4,2.4711201190948486,0.3812499940395355
5,2.3293548583984376,0.45000001788139343
6,2.9984864950180055,0.34375
7,3.2059359550476074,0.28125
8,2.6157815933227537,0.23125000298023224
9,2.0055091619491576,0.2874999940395355
10,1.6798393607139588,0.4000000059604645
11,1.940638780593872,0.2874999940395355
12,2.031717300415039,0.38750001788139343
13,2.056226682662964,0.3375000059604645
